26.70 - 28291    - CREATE - ./simpledu, test, -b
27.18 - 28292    - CREATE - 
27.69 - 28293    - CREATE - 
28.11 - 28294    - CREATE - 
28.85 - 28295    - CREATE - 
29.55 - 28296    - CREATE - 
30.78 - 28297    - CREATE - 
31.01 - 28297    - SEND_PIPE - 0
31.06 - 28297    - EXIT - 0
31.49 - 28296    - RECV_PIPE - 0
32.09 - 28298    - CREATE - 
32.35 - 28298    - SEND_PIPE - 74780
32.40 - 28298    - EXIT - 0
32.81 - 28296    - RECV_PIPE - 74780
33.35 - 28299    - CREATE - 
33.95 - 28300    - CREATE - 
34.29 - 28300    - SEND_PIPE - 1239882
34.34 - 28300    - EXIT - 0
34.87 - 28299    - RECV_PIPE - 1239882
35.40 - 28301    - CREATE - 
35.66 - 28301    - SEND_PIPE - 4100
35.73 - 28301    - EXIT - 0
36.18 - 28299    - RECV_PIPE - 4100
36.30 - 28299    - SEND_PIPE - 1260528
36.35 - 28299    - EXIT - 0
36.73 - 28296    - RECV_PIPE - 1260528
37.25 - 28302    - CREATE - 
37.50 - 28302    - SEND_PIPE - 0
37.55 - 28302    - EXIT - 0
37.94 - 28296    - RECV_PIPE - 0
38.27 - 28303    - CREATE - 
38.35 - 28303    - SEND_PIPE - 4735
38.37 - 28303    - EXIT - 0
38.51 - 28296    - RECV_PIPE - 4735
38.72 - 28304    - CREATE - 
38.83 - 28304    - SEND_PIPE - 218204
38.84 - 28304    - EXIT - 0
38.97 - 28296    - RECV_PIPE - 218204
39.14 - 28305    - CREATE - 
39.21 - 28305    - SEND_PIPE - 55883
39.23 - 28305    - EXIT - 0
39.37 - 28296    - RECV_PIPE - 55883
39.53 - 28306    - CREATE - 
39.65 - 28306    - SEND_PIPE - 158674
39.67 - 28306    - EXIT - 0
39.81 - 28296    - RECV_PIPE - 158674
39.96 - 28307    - CREATE - 
40.03 - 28307    - SEND_PIPE - 369
40.04 - 28307    - EXIT - 0
40.20 - 28296    - RECV_PIPE - 369
40.35 - 28308    - CREATE - 
40.43 - 28308    - SEND_PIPE - 0
40.45 - 28308    - EXIT - 0
40.60 - 28296    - RECV_PIPE - 0
40.76 - 28309    - CREATE - 
40.84 - 28309    - SEND_PIPE - 23684
40.86 - 28309    - EXIT - 0
40.98 - 28296    - RECV_PIPE - 23684
41.10 - 28310    - CREATE - 
41.18 - 28310    - SEND_PIPE - 14992
41.19 - 28310    - EXIT - 0
41.31 - 28296    - RECV_PIPE - 14992
41.43 - 28311    - CREATE - 
41.61 - 28312    - CREATE - 
41.72 - 28312    - SEND_PIPE - 19010
41.74 - 28312    - EXIT - 0
41.91 - 28311    - RECV_PIPE - 19010
42.14 - 28313    - CREATE - 
42.24 - 28313    - SEND_PIPE - 7502
42.26 - 28313    - EXIT - 0
